Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,0,220.51,0.0,0.0,0.546,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L1_P2,1,2,75.17,65.91,2.472,0.903,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L2_P2,2,2,76.89,65.13,2.795,0.815,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L3_P2,3,2,76.89,65.13,2.891,1.178,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L5_P2,5,2,77.35,64.92,5.321,1.582,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L6_P2,6,2,77.35,64.92,5.624,2.08,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L7_P2,7,2,77.34,64.93,5.52,2.363,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L8_P2,8,2,77.34,64.93,4.242,0.998,S2-16D_V2_002011_20260728,EVI
COG_DEFLATE_L9_P2,9,2,75.53,65.75,11.112,1.393,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,0,110.26,0.0,0.0,0.306,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L1_P2,1,2,0.43,99.61,1.144,0.294,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L2_P2,2,2,0.41,99.63,2.693,0.76,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L3_P2,3,2,0.41,99.63,2.349,0.609,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L5_P2,5,2,0.4,99.64,1.393,0.318,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L6_P2,6,2,0.4,99.64,4.98,0.8,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L7_P2,7,2,0.4,99.64,2.278,0.475,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L8_P2,8,2,0.34,99.69,1.955,0.33,S2-16D_V2_001014_20260728,SCL
COG_DEFLATE_L9_P2,9,2,0.39,99.65,4.363,0.628,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.983,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L1_P2,1,2,36.71,83.35,1.795,1.03,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L2_P2,2,2,36.89,83.27,2.007,1.358,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L3_P2,3,2,36.88,83.28,2.041,1.596,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L5_P2,5,2,37.2,83.13,3.682,1.812,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L6_P2,6,2,37.2,83.13,3.502,1.905,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L7_P2,7,2,37.2,83.13,5.483,1.157,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L8_P2,8,2,37.2,83.13,5.352,2.674,S2-16D_V2_001014_20260728,B02
COG_DEFLATE_L9_P2,9,2,36.25,83.56,12.712,0.909,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.94,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L1_P2,1,2,61.09,72.3,6.652,1.321,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L2_P2,2,2,62.23,71.78,5.566,2.004,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L3_P2,3,2,62.23,71.78,3.789,2.821,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L5_P2,5,2,62.23,71.78,7.168,4.215,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L6_P2,6,2,62.23,71.78,4.292,2.132,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L7_P2,7,2,62.17,71.81,8.181,3.099,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L8_P2,8,2,62.17,71.81,8.91,3.591,S2-16D_V2_002011_20260728,B04
COG_DEFLATE_L9_P2,9,2,60.53,72.55,13.788,1.036,S2-16D_V2_002011_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.725,S2-16D_V2_001014_20260728,B12
COG_DEFLATE_L1_P2,1,2,36.99,83.23,4.005,1.963,S2-16D_V2_001014_20260728,B12
COG_DEFLATE_L2_P2,2,2,37.2,83.13,4.435,2.518,S2-16D_V2_001014_20260728,B12
COG_DEFLATE_L3_P2,3,2,37.2,83.13,3.984,3.409,S2-16D_V2_001014_20260728,B12
