Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,256,220.51,0.0,0.0,3.208,S2-16D_V2_002011_20260728,EVI
COG_LZW_P1_B128,1,128,108.51,50.79,3.317,1.576,S2-16D_V2_002011_20260728,EVI
COG_LZW_P1_B256,1,256,108.16,50.95,3.601,2.454,S2-16D_V2_002011_20260728,EVI
COG_LZW_P1_B512,1,512,108.56,50.77,4.275,4.069,S2-16D_V2_002011_20260728,EVI
COG_LZW_P2_B128,2,128,93.56,57.57,8.624,3.182,S2-16D_V2_002011_20260728,EVI
COG_LZW_P2_B256,2,256,91.63,58.45,4.417,4.8,S2-16D_V2_002011_20260728,EVI
COG_LZW_P2_B512,2,512,90.91,58.77,7.206,5.978,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,256,110.26,0.0,0.0,1.098,S2-16D_V2_001014_20260728,SCL
COG_LZW_P1_B128,1,128,2.1,98.09,3.295,0.797,S2-16D_V2_001014_20260728,SCL
COG_LZW_P1_B256,1,256,1.16,98.95,2.305,0.599,S2-16D_V2_001014_20260728,SCL
COG_LZW_P1_B512,1,512,0.71,99.36,2.392,0.217,S2-16D_V2_001014_20260728,SCL
COG_LZW_P2_B128,2,128,2.44,97.78,4.89,2.386,S2-16D_V2_001014_20260728,SCL
COG_LZW_P2_B256,2,256,1.33,98.8,6.393,1.413,S2-16D_V2_001014_20260728,SCL
COG_LZW_P2_B512,2,512,0.79,99.29,2.706,0.684,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,0.63,S2-16D_V2_001014_20260728,B02
COG_LZW_P1_B128,1,128,44.93,79.63,3.308,0.675,S2-16D_V2_001014_20260728,B02
COG_LZW_P1_B256,1,256,44.07,80.02,3.15,0.625,S2-16D_V2_001014_20260728,B02
COG_LZW_P1_B512,1,512,43.87,80.11,2.761,1.281,S2-16D_V2_001014_20260728,B02
COG_LZW_P2_B128,2,128,45.1,79.55,5.205,4.986,S2-16D_V2_001014_20260728,B02
COG_LZW_P2_B256,2,256,44.05,80.03,3.939,0.88,S2-16D_V2_001014_20260728,B02
COG_LZW_P2_B512,2,512,43.66,80.2,3.288,0.856,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,0.804,S2-16D_V2_002011_20260728,B04
COG_LZW_P1_B128,1,128,80.44,63.52,3.278,2.284,S2-16D_V2_002011_20260728,B04
COG_LZW_P1_B256,1,256,80.25,63.61,7.69,0.886,S2-16D_V2_002011_20260728,B04
COG_LZW_P1_B512,1,512,80.65,63.43,3.134,0.784,S2-16D_V2_002011_20260728,B04
COG_LZW_P2_B128,2,128,73.75,66.56,4.105,1.216,S2-16D_V2_002011_20260728,B04
COG_LZW_P2_B256,2,256,72.84,66.97,3.985,1.988,S2-16D_V2_002011_20260728,B04
COG_LZW_P2_B512,2,512,72.61,67.07,5.925,1.561,S2-16D_V2_002011_20260728,B04
RAW_SemComp,0,256,220.51,0.0,0.0,1.406,S2-16D_V2_001014_20260728,B12
COG_LZW_P1_B128,1,128,49.87,77.38,5.372,1.699,S2-16D_V2_001014_20260728,B12
COG_LZW_P1_B256,1,256,49.02,77.77,3.818,3.588,S2-16D_V2_001014_20260728,B12
COG_LZW_P1_B512,1,512,48.88,77.83,2.321,2.971,S2-16D_V2_001014_20260728,B12
COG_LZW_P2_B128,2,128,45.7,79.27,8.118,2.612,S2-16D_V2_001014_20260728,B12
COG_LZW_P2_B256,2,256,44.52,79.81,5.394,0.906,S2-16D_V2_001014_20260728,B12
COG_LZW_P2_B512,2,512,44.09,80.01,3.569,3.215,S2-16D_V2_001014_20260728,B12
RAW_SemComp,0,256,220.51,0.0,0.0,0.548,S2-16D_V2_002011_20260728,B09
COG_LZW_P1_B128,1,128,95.81,56.55,3.805,0.912,S2-16D_V2_002011_20260728,B09
COG_LZW_P1_B256,1,256,96.33,56.32,3.687,0.786,S2-16D_V2_002011_20260728,B09
