Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,0,220.51,0.0,0.0,0.473,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L01_P2,1,2,74.78,66.09,2.796,1.04,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L03_P2,3,2,74.8,66.08,1.753,0.642,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L05_P2,5,2,74.27,66.32,2.788,0.936,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L07_P2,7,2,74.25,66.33,2.675,1.685,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L09_P2,9,2,74.25,66.33,4.793,1.609,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L11_P2,11,2,74.25,66.33,6.899,2.038,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L13_P2,13,2,73.85,66.51,21.706,0.609,S2-16D_V2_002011_20260728,EVI
COG_ZSTD_L15_P2,15,2,73.85,66.51,26.367,1.468,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,0,110.26,0.0,0.0,0.713,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L01_P2,1,2,0.19,99.83,1.026,0.273,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L03_P2,3,2,0.15,99.86,1.285,0.516,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L05_P2,5,2,0.14,99.87,1.814,1.044,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L07_P2,7,2,0.13,99.88,1.147,0.312,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L09_P2,9,2,0.12,99.89,2.076,0.797,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L11_P2,11,2,0.12,99.89,3.31,0.353,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L13_P2,13,2,0.12,99.89,11.718,0.309,S2-16D_V2_001014_20260728,SCL
COG_ZSTD_L15_P2,15,2,0.12,99.89,27.745,1.359,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.411,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L01_P2,1,2,39.28,82.19,1.298,0.669,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L03_P2,3,2,35.83,83.75,2.765,0.656,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L05_P2,5,2,35.18,84.05,3.83,1.291,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L07_P2,7,2,35.09,84.09,3.907,1.733,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L09_P2,9,2,35.09,84.09,4.472,1.952,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L11_P2,11,2,35.04,84.11,6.934,0.666,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L13_P2,13,2,35.04,84.11,19.433,1.806,S2-16D_V2_001014_20260728,B02
COG_ZSTD_L15_P2,15,2,35.04,84.11,30.014,0.76,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.538,S2-16D_V2_002011_20260728,B04
COG_ZSTD_L01_P2,1,2,63.35,71.27,1.817,0.617,S2-16D_V2_002011_20260728,B04
