Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,0,220.51,0.0,0.0,0.36,S2-16D_V2_002011_20260728,EVI
DEFLATE_L1_P2,1,2,55.87,74.66,1.622,0.749,S2-16D_V2_002011_20260728,EVI
DEFLATE_L2_P2,2,2,57.16,74.08,1.974,0.791,S2-16D_V2_002011_20260728,EVI
DEFLATE_L3_P2,3,2,57.17,74.08,1.913,0.778,S2-16D_V2_002011_20260728,EVI
DEFLATE_L5_P2,5,2,57.5,73.92,1.969,0.798,S2-16D_V2_002011_20260728,EVI
DEFLATE_L6_P2,6,2,57.5,73.92,2.072,0.777,S2-16D_V2_002011_20260728,EVI
DEFLATE_L7_P2,7,2,57.48,73.93,2.506,0.807,S2-16D_V2_002011_20260728,EVI
DEFLATE_L8_P2,8,2,57.29,74.02,2.638,0.823,S2-16D_V2_002011_20260728,EVI
DEFLATE_L9_P2,9,2,56.07,74.57,10.675,0.742,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,0,110.26,0.0,0.0,0.258,S2-16D_V2_001014_20260728,SCL
DEFLATE_L1_P2,1,2,0.29,99.73,0.47,0.339,S2-16D_V2_001014_20260728,SCL
DEFLATE_L2_P2,2,2,0.29,99.73,0.505,0.317,S2-16D_V2_001014_20260728,SCL
DEFLATE_L3_P2,3,2,0.29,99.73,0.476,0.297,S2-16D_V2_001014_20260728,SCL
DEFLATE_L5_P2,5,2,0.29,99.74,0.44,0.272,S2-16D_V2_001014_20260728,SCL
DEFLATE_L6_P2,6,2,0.29,99.74,0.504,0.358,S2-16D_V2_001014_20260728,SCL
DEFLATE_L7_P2,7,2,0.28,99.75,0.644,0.32,S2-16D_V2_001014_20260728,SCL
DEFLATE_L8_P2,8,2,0.27,99.75,0.634,0.304,S2-16D_V2_001014_20260728,SCL
DEFLATE_L9_P2,9,2,0.28,99.75,4.599,0.339,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,0.421,S2-16D_V2_001014_20260728,B02
DEFLATE_L1_P2,1,2,27.66,87.46,1.169,0.692,S2-16D_V2_001014_20260728,B02
DEFLATE_L2_P2,2,2,27.84,87.37,1.407,0.665,S2-16D_V2_001014_20260728,B02
DEFLATE_L3_P2,3,2,27.84,87.38,1.537,0.707,S2-16D_V2_001014_20260728,B02
DEFLATE_L5_P2,5,2,28.06,87.27,1.8,0.737,S2-16D_V2_001014_20260728,B02
DEFLATE_L6_P2,6,2,28.06,87.27,1.808,0.694,S2-16D_V2_001014_20260728,B02
DEFLATE_L7_P2,7,2,28.07,87.27,2.073,0.708,S2-16D_V2_001014_20260728,B02
DEFLATE_L8_P2,8,2,28.07,87.27,2.087,0.743,S2-16D_V2_001014_20260728,B02
DEFLATE_L9_P2,9,2,27.36,87.59,8.808,0.756,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.418,S2-16D_V2_002011_20260728,B04
DEFLATE_L1_P2,1,2,45.31,79.45,1.524,0.843,S2-16D_V2_002011_20260728,B04
