Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,256,220.51,0.0,0.0,1.33,S2-16D_V2_002011_20260728,EVI
LZW_P1_B128,1,128,81.11,63.22,6.27,4.383,S2-16D_V2_002011_20260728,EVI
LZW_P1_B256,1,256,80.98,63.28,10.423,4.381,S2-16D_V2_002011_20260728,EVI
LZW_P1_B512,1,512,81.32,63.12,13.206,6.516,S2-16D_V2_002011_20260728,EVI
LZW_P2_B128,2,128,68.44,68.96,9.092,1.4,S2-16D_V2_002011_20260728,EVI
LZW_P2_B256,2,256,66.99,69.62,4.056,1.559,S2-16D_V2_002011_20260728,EVI
LZW_P2_B512,2,512,66.41,69.88,3.878,2.275,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,256,110.26,0.0,0.0,1.32,S2-16D_V2_001014_20260728,SCL
LZW_P1_B128,1,128,1.48,98.66,3.264,1.642,S2-16D_V2_001014_20260728,SCL
LZW_P1_B256,1,256,0.82,99.26,1.597,1.374,S2-16D_V2_001014_20260728,SCL
LZW_P1_B512,1,512,0.48,99.57,1.798,1.398,S2-16D_V2_001014_20260728,SCL
LZW_P2_B128,2,128,1.74,98.42,4.594,1.904,S2-16D_V2_001014_20260728,SCL
LZW_P2_B256,2,256,0.95,99.14,2.023,1.586,S2-16D_V2_001014_20260728,SCL
LZW_P2_B512,2,512,0.54,99.51,1.621,0.318,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,3.014,S2-16D_V2_001014_20260728,B02
LZW_P1_B128,1,128,33.95,84.6,7.883,3.103,S2-16D_V2_001014_20260728,B02
LZW_P1_B256,1,256,33.34,84.88,4.798,1.337,S2-16D_V2_001014_20260728,B02
LZW_P1_B512,1,512,33.17,84.96,6.549,2.611,S2-16D_V2_001014_20260728,B02
LZW_P2_B128,2,128,33.82,84.66,8.209,6.701,S2-16D_V2_001014_20260728,B02
LZW_P2_B256,2,256,33.06,85.01,5.905,2.29,S2-16D_V2_001014_20260728,B02
LZW_P2_B512,2,512,32.75,85.15,6.405,1.035,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,1.342,S2-16D_V2_002011_20260728,B04
LZW_P1_B128,1,128,59.93,72.82,9.201,2.461,S2-16D_V2_002011_20260728,B04
