Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,0,220.51,0.0,0.0,0.551,S2-16D_V2_002011_20260728,EVI
ZSTD_L01_P2,1,2,55.41,74.87,0.875,0.609,S2-16D_V2_002011_20260728,EVI
ZSTD_L03_P2,3,2,55.42,74.87,0.471,1.233,S2-16D_V2_002011_20260728,EVI
ZSTD_L05_P2,5,2,55.4,74.88,2.325,2.658,S2-16D_V2_002011_20260728,EVI
ZSTD_L07_P2,7,2,55.4,74.88,0.806,0.534,S2-16D_V2_002011_20260728,EVI
ZSTD_L09_P2,9,2,55.4,74.88,0.909,0.64,S2-16D_V2_002011_20260728,EVI
ZSTD_L11_P2,11,2,55.4,74.88,1.418,0.628,S2-16D_V2_002011_20260728,EVI
ZSTD_L13_P2,13,2,55.22,74.96,5.562,0.648,S2-16D_V2_002011_20260728,EVI
ZSTD_L15_P2,15,2,55.22,74.96,6.476,0.644,S2-16D_V2_002011_20260728,EVI
RAW_SemComp,0,0,110.26,0.0,0.0,1.498,S2-16D_V2_001014_20260728,SCL
ZSTD_L01_P2,1,2,0.21,99.81,0.185,0.279,S2-16D_V2_001014_20260728,SCL
ZSTD_L03_P2,3,2,0.11,99.9,0.181,0.232,S2-16D_V2_001014_20260728,SCL
ZSTD_L05_P2,5,2,0.1,99.91,0.271,0.336,S2-16D_V2_001014_20260728,SCL
ZSTD_L07_P2,7,2,0.1,99.91,0.439,0.222,S2-16D_V2_001014_20260728,SCL
ZSTD_L09_P2,9,2,0.09,99.91,0.592,0.269,S2-16D_V2_001014_20260728,SCL
ZSTD_L11_P2,11,2,0.09,99.91,0.267,0.247,S2-16D_V2_001014_20260728,SCL
ZSTD_L13_P2,13,2,0.09,99.91,0.274,0.327,S2-16D_V2_001014_20260728,SCL
ZSTD_L15_P2,15,2,0.09,99.91,0.6,0.31,S2-16D_V2_001014_20260728,SCL
RAW_SemComp,0,0,220.51,0.0,0.0,1.308,S2-16D_V2_001014_20260728,B02
ZSTD_L01_P2,1,2,29.54,86.6,0.867,4.902,S2-16D_V2_001014_20260728,B02
ZSTD_L03_P2,3,2,27.03,87.74,6.581,0.616,S2-16D_V2_001014_20260728,B02
ZSTD_L05_P2,5,2,26.84,87.83,2.493,1.167,S2-16D_V2_001014_20260728,B02
ZSTD_L07_P2,7,2,26.83,87.83,1.438,1.861,S2-16D_V2_001014_20260728,B02
ZSTD_L09_P2,9,2,26.82,87.84,5.073,0.621,S2-16D_V2_001014_20260728,B02
ZSTD_L11_P2,11,2,26.82,87.84,2.838,0.628,S2-16D_V2_001014_20260728,B02
ZSTD_L13_P2,13,2,26.82,87.84,4.903,0.615,S2-16D_V2_001014_20260728,B02
ZSTD_L15_P2,15,2,26.82,87.84,4.958,0.646,S2-16D_V2_001014_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.457,S2-16D_V2_002011_20260728,B04
ZSTD_L01_P2,1,2,46.99,78.69,0.437,0.625,S2-16D_V2_002011_20260728,B04
ZSTD_L03_P2,3,2,44.27,79.92,1.204,0.566,S2-16D_V2_002011_20260728,B04
ZSTD_L05_P2,5,2,43.96,80.06,1.59,0.671,S2-16D_V2_002011_20260728,B04
ZSTD_L07_P2,7,2,43.96,80.07,1.816,0.665,S2-16D_V2_002011_20260728,B04
ZSTD_L09_P2,9,2,43.94,80.07,2.434,0.684,S2-16D_V2_002011_20260728,B04
ZSTD_L11_P2,11,2,43.94,80.07,3.824,0.654,S2-16D_V2_002011_20260728,B04
ZSTD_L13_P2,13,2,43.94,80.07,6.777,0.714,S2-16D_V2_002011_20260728,B04
ZSTD_L15_P2,15,2,43.94,80.07,15.713,3.289,S2-16D_V2_002011_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.431,S2-16D_V2_001014_20260728,B12
ZSTD_L01_P2,1,2,29.71,86.53,0.487,0.565,S2-16D_V2_001014_20260728,B12
ZSTD_L03_P2,3,2,26.61,87.93,0.823,0.604,S2-16D_V2_001014_20260728,B12
ZSTD_L05_P2,5,2,26.45,88.0,1.156,0.584,S2-16D_V2_001014_20260728,B12
ZSTD_L07_P2,7,2,26.4,88.03,1.438,0.634,S2-16D_V2_001014_20260728,B12
ZSTD_L09_P2,9,2,26.37,88.04,1.929,0.776,S2-16D_V2_001014_20260728,B12
ZSTD_L11_P2,11,2,26.37,88.04,7.479,1.03,S2-16D_V2_001014_20260728,B12
ZSTD_L13_P2,13,2,26.37,88.04,6.863,0.659,S2-16D_V2_001014_20260728,B12
ZSTD_L15_P2,15,2,26.37,88.04,5.039,0.675,S2-16D_V2_001014_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,1.381,S2-16D_V2_002011_20260728,B09
ZSTD_L01_P2,1,2,38.84,82.39,3.406,6.383,S2-16D_V2_002011_20260728,B09
ZSTD_L03_P2,3,2,35.76,83.78,11.519,1.158,S2-16D_V2_002011_20260728,B09
ZSTD_L05_P2,5,2,35.41,83.94,3.247,0.886,S2-16D_V2_002011_20260728,B09
